Stream,Treatment,CollDate,Density
CHUCK,N,2017,892.5925925925926
LOON,N,2017,274.0740740740741
MCTE,N,2017,2396.5799698503215
W-100,N,2017,1440.7407407407406
W-113,N,2017,829.6296296296296
CHUCK,Y,2017,1466.6666666666665
LOON,Y,2017,785.1851851851852
MCTE,Y,2017,1307.4074074074074
W-100,Y,2017,2862.962962962963
W-113,Y,2017,766.6666666666666
CHUCK,N,2018,3740.740740740741
LOON,N,2018,3176.3668430335097
MCTE,N,2018,4908.465609555982
W-100,N,2018,6231.481481481482
W-113,N,2018,6822.222224951111
CHUCK,Y,2018,3377.7777782383687
LOON,Y,2018,3308.641975308642
MCTE,Y,2018,11506.172839506173
W-100,Y,2018,6644.444444710222
W-113,Y,2018,6697.777778044458
