"","Algae Calothrix","Algae Chamaesiphon","Algae Draparnaldia","Algae Homoeothrix","Algae Leptolyngbya","Algae Nostoc","Algae Phormidium","Algae Pseudanabaena","Algae Sheathia","Algae Synechococcus","Algae Undetermined Rhodophyte","Diatoms Achnanthidium minutissimum","Diatoms Achnanthidium pyrenaicum","Diatoms Adlafia langebertalotii","Diatoms Amphora pediculus","Diatoms Aulacoseira","Diatoms Caloneis bacillum","Diatoms Cocconeis pediculus","Diatoms Cocconeis placentula sensu lato","Diatoms Cyclotella","Diatoms Cymbella affinis","Diatoms Diatoma","Diatoms Diatoma mesodon","Diatoms Diatoma moniliformis","Diatoms Encyonema","Diatoms Encyonema silesiacum","Diatoms Encyonema ventricosum","Diatoms Epithemia","Diatoms Epithemia argus","Diatoms Epithemia smithii","Diatoms Epithemia turgida","Diatoms Eunotia","Diatoms Eunotia bidens","Diatoms Eunotia bilunaris","Diatoms Eunotia canicula","Diatoms Eunotia incisa","Diatoms Eunotia minor","Diatoms Eunotia perpusilla","Diatoms Fragilaria","Diatoms Fragilaria amphicelaphaloides","Diatoms Fragilaria perminuta","Diatoms Fragilaria tenera","Diatoms Frustulia krammeri","Diatoms Gomphonema","Diatoms Gomphonema duplipunctatum","Diatoms Gomphonema exilissimum","Diatoms Gomphonema minusculum","Diatoms Gomphonema pumilum v. rigidum","Diatoms Gomphonema stoermeri","Diatoms Gomphosphenia","Diatoms Gomphosphenia americana","Diatoms Humidophila perpusilla","Diatoms Karayevia suchlandtii","Diatoms Mayamaea atomus","Diatoms Meridion circulare","Diatoms Navicula","Diatoms Navicula capitatoradiata","Diatoms Navicula cryptocephala","Diatoms Navicula cryptotenella","Diatoms Navicula cryptotenelloides","Diatoms Navicula notha","Diatoms Navicula reichardtiana","Diatoms Navicula rostellata","Diatoms Navicula tripunctata","Diatoms Nitzschia","Diatoms Nitzschia archibaldii","Diatoms Nitzschia dissipata","Diatoms Nitzschia frustulum","Diatoms Nitzschia inconspicua","Diatoms Nitzschia linearis","Diatoms Nitzschia palea","Diatoms Planothidium","Diatoms Planothidium frequentissimum","Diatoms Planothidium haynaldii","Diatoms Planothidium lanceolatum","Diatoms Psammothidium daonense","Diatoms Pseudostaurosira pseudoconstruens","Diatoms Reimeria sinuata","Diatoms Rhopalodia","Diatoms Rossithidium nodosum","Diatoms Rossithidium petersenii","Diatoms Sellaphora","Diatoms Sellaphora atomoides","Diatoms Sellaphora difficillima","Diatoms Sellaphora nigri","Diatoms Stauroneis kriegeri","Diatoms Staurosira","Diatoms Ulnaria","Diatoms Ulnaria contracta"
"1",0,0,0,4347.82608695652,0,0,0,0,0,8695.65217391304,8695.65217391304,2050.86136177194,0,0,1025.43068088597,512.715340442986,0,0,1538.14602132896,0,0,0,0,512.715340442986,0,0,0,512.715340442986,0,0,0,2050.86136177194,0,0,0,0,512.715340442986,1025.43068088597,0,512.715340442986,0,0,0,0,0,0,0,58962.2641509434,0,0,0,0,24097.6210008203,512.715340442986,2050.86136177194,0,0,0,512.715340442986,512.715340442986,0,0,512.715340442986,0,1025.43068088597,0,512.715340442986,0,512.715340442986,0,0,0,0,0,7690.73010664479,0,0,512.715340442986,0,512.715340442986,0,512.715340442986,0,0,0,0,0,0,0
"2",16053.5117056856,0,0,0,0,0,0,0,0,35317.7257525084,12842.8093645485,754.754654819549,0,754.754654819549,0,0,0,0,251.58488493985,0,0,251.58488493985,0,0,0,0,0,0,0,0,0,503.169769879699,0,0,0,0,251.58488493985,503.169769879699,0,0,0,0,0,0,0,0,0,93841.1620825639,0,1006.3395397594,0,0,24152.1489542256,0,4780.11281385714,251.58488493985,0,0,503.169769879699,0,0,503.169769879699,0,0,0,0,0,0,0,0,0,0,251.58488493985,0,2264.26396445865,503.169769879699,0,0,0,1509.5093096391,2012.6790795188,0,0,0,0,0,0,0,0
"3",0,0,0,7625.41806020067,0,0,0,0,0,0,11438.127090301,3912.51816701396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4890.64770876744,0,0,0,0,978.129541753489,0,0,0,0,0,0,0,0,0,0,136938.135845488,0,0,0,0,11737.5545010419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20540.7203768233,3912.51816701396,0,0,0,978.129541753489,2934.38862526047,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,3973.24414715719,0,23839.4648829431,1227.50632188596,0,0,0,0,0,0,920.62974141447,0,0,0,460.314870707235,0,0,0,153.438290235745,0,0,0,0,1841.25948282894,0,0,0,0,1994.69777306468,0,0,0,0,0,0,0,0,0,0,28999.8368545558,0,0,0,0,19946.9777306468,0,613.75316094298,0,0,0,306.87658047149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.438290235745,7365.03793131576,0,0,0,0,613.75316094298,10894.1186067379,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,162943.143812709,11237.4581939799,2481.60535117057,0,2481.60535117057,0,0,0,0,1240.80267558528,0,0,0,2481.60535117057,0,0,0,0,0,0,0,0,2481.60535117057,0,0,0,0,2481.60535117057,0,0,0,3722.40802675585,0,0,0,0,0,0,300274.247491639,0,1240.80267558528,0,0,105468.227424749,0,53354.5150501672,0,0,0,0,0,0,1240.80267558528,0,0,0,0,0,0,0,0,0,0,0,7444.8160535117,239474.91638796,11167.2240802676,0,0,0,1240.80267558528,6204.01337792642,0,0,0,0,0,0,0,0
"6",0,0,0,12040.1337792642,0,0,0,0,0,0,28093.6454849498,541.806020066889,0,0,0,0,0,0,4334.44816053511,0,0,0,3250.83612040133,0,0,0,0,0,0,0,0,3792.64214046822,2167.22408026756,0,0,0,1625.41806020067,1625.41806020067,0,0,0,0,0,0,0,0,0,108361.204013378,3250.83612040133,0,0,0,81270.9030100333,0,4876.254180602,0,0,0,0,541.806020066889,0,1083.61204013378,0,0,0,0,1625.41806020067,0,0,0,0,0,0,1625.41806020067,94816.0535117056,6501.67224080267,0,0,0,0,2709.03010033444,0,541.806020066889,0,541.806020066889,0,0,0,0
"7",4013.3779264214,0,0,4013.3779264214,0,4013.3779264214,0,0,260869.565217391,0,0,2809.36454849498,0,2408.02675585284,0,0,0,0,0,0,0,0,17257.525083612,0,401.33779264214,0,0,0,1204.01337792642,0,0,11237.4581939799,2408.02675585284,0,6822.74247491638,802.67558528428,2006.6889632107,18060.2006688963,0,0,0,4013.3779264214,802.67558528428,802.67558528428,0,0,0,39732.4414715719,0,0,4013.3779264214,1204.01337792642,49364.5484949832,1204.01337792642,11237.4581939799,0,0,401.33779264214,12040.1337792642,0,0,4414.71571906354,401.33779264214,0,0,401.33779264214,0,802.67558528428,0,0,401.33779264214,0,0,0,10434.7826086956,2809.36454849498,401.33779264214,0,802.67558528428,6822.74247491638,2006.6889632107,0,802.67558528428,18862.8762541806,0,0,401.33779264214,0,802.67558528428
"8",54260.8695652175,0,0,0,58434.7826086957,0,0,0,262956.521739131,0,4173.91304347827,0,0,18768.6956521739,0,0,528.695652173914,0,1057.39130434783,0,264.347826086957,0,2114.78260869566,0,0,0,0,1586.08695652174,0,0,793.043478260871,1586.08695652174,0,0,264.347826086957,0,264.347826086957,2643.47826086957,0,0,0,793.043478260871,0,0,0,0,0,41238.2608695653,0,0,1850.4347826087,0,57099.1304347827,0,4229.56521739131,0,0,0,0,0,264.347826086957,2907.82608695653,0,0,0,0,0,0,0,0,0,1586.08695652174,1057.39130434783,0,8459.13043478262,1057.39130434783,0,0,0,6080.00000000001,2114.78260869566,0,0,0,0,0,0,0,0
"9",27157.1906354515,0,0,23277.5919732442,15518.3946488294,15518.3946488294,0,0,58193.9799331104,0,11638.7959866221,0,0,10591.3043478261,0,0,0,0,7332.44147157191,0,0,0,30144.4816053512,0,0,0,0,0,0,0,2444.14715719064,61918.3946488295,5703.01003344482,0,8147.15719063546,11406.0200668896,6517.72575250837,30144.4816053512,2444.14715719064,0,0,15479.5986622074,814.715719063546,0,0,0,0,65991.9732441472,0,0,7332.44147157191,0,79842.1404682275,0,33403.3444816054,0,0,2444.14715719064,33403.3444816054,0,0,3258.86287625418,0,0,0,0,0,0,814.715719063546,814.715719063546,0,3258.86287625418,2444.14715719064,0,27700.3344481605,4073.57859531773,0,0,0,9776.58862876255,14664.8829431438,0,3258.86287625418,2444.14715719064,0,0,0,0,814.715719063546
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,170.603521610945,0,0,0,0,170.603521610945,0,0,0,341.207043221889,0,0,0,0,0,0,0,0,3753.27747544078,0,0,341.207043221889,1364.82817288756,341.207043221889,3753.27747544078,0,0,0,0,0,0,0,0,0,4435.69156188456,0,0,0,0,9724.40073182384,0,511.810564832834,0,0,0,1364.82817288756,0,0,0,0,0,170.603521610945,0,0,0,0,0,0,0,0,0,20301.8190717024,1023.62112966567,0,0,0,341.207043221889,682.414086443778,0,0,170.603521610945,0,0,0,0,0
