Family,Stream,Treatment,Origin,FFG,Size,Count
Amphizoidae,W-100,N,A,CG,L,1
Amphizoidae,W-100,Y,A,CG,L,1
Ant,CHUCK,N,T,NA,NA,11
Ant,CHUCK,Y,T,NA,NA,1
Ant,LOON,Y,T,NA,NA,1
Ant,MCTE,N,T,NA,NA,15
Ant,MCTE,Y,T,NA,NA,3
Ant,W-100,Y,T,NA,NA,1
Arachnida,CHUCK,N,T,NA,NA,2
Arachnida,CHUCK,Y,T,NA,NA,1
Arachnida,LOON,N,T,NA,NA,3
Arachnida,LOON,Y,T,NA,NA,1
Arachnida,MCTE,N,T,NA,NA,2
Arachnida,MCTE,Y,T,NA,NA,5
Arachnida,W-100,N,T,NA,NA,6
Arachnida,W-100,Y,T,NA,NA,8
Baetidae,CHUCK,N,A,CG,S,11
Baetidae,CHUCK,Y,A,CG,S,8
Baetidae,LOON,N,A,CG,S,1
Baetidae,LOON,N,AT,CG,S,1
Baetidae,LOON,Y,A,CG,S,4
Baetidae,MCTE,N,A,CG,S,9
Baetidae,MCTE,Y,A,CG,S,8
Baetidae,MCTE,Y,AT,CG,S,2
Baetidae,W-100,N,A,CG,S,1
Baetidae,W-100,N,AT,CG,S,1
Baetidae,W-100,Y,A,CG,S,5
Brachycentridae,CHUCK,N,A,SH,L,3
Brachycentridae,CHUCK,Y,A,SH,L,4
Brachycentridae,LOON,N,A,SH,L,7
Brachycentridae,LOON,Y,A,SH,L,6
Brachycentridae,MCTE,N,A,SH,L,8
Brachycentridae,MCTE,Y,A,SH,L,8
Brachycentridae,W-100,Y,A,SH,L,2
Centipede,MCTE,Y,T,NA,NA,1
Ceratapogonidae,CHUCK,N,A,P,S,1
Ceratapogonidae,MCTE,N,A,P,S,1
Ceratapogonidae,MCTE,Y,A,P,S,1
Chironomidae,CHUCK,N,A,CG,S,25
Chironomidae,CHUCK,Y,A,CG,S,12
Chironomidae,LOON,N,A,CG,S,7
Chironomidae,LOON,Y,A,CG,S,1
Chironomidae,MCTE,N,A,CG,S,11
Chironomidae,MCTE,Y,A,CG,S,17
Chironomidae,W-100,N,A,CG,S,5
Chironomidae,W-100,Y,A,CG,S,7
Chloroperlidae,CHUCK,Y,A,P,L,1
Chloroperlidae,MCTE,N,A,P,L,3
Chloroperlidae,W-100,N,A,P,L,1
Coleoptera,CHUCK,N,T,CG,L,13
Coleoptera,LOON,N,T,CG,L,2
Coleoptera,LOON,Y,T,CG,L,4
