Taxon,CollDate,Stream,Treatment,Density,Size,FFG,Family
Ameletus,2018,W-113,Y,0,S,SCe,Ameletidae
Ameletus,2018,W-100,N,0,S,SCe,Ameletidae
Ameletus,2018,CHUCK,N,0,S,SCe,Ameletidae
Ameletus,2018,CHUCK,Y,22.22222222261441,S,SCe,Ameletidae
Ameletus,2018,W-100,Y,0,S,SCe,Ameletidae
Ameletus,2018,W-113,N,0,S,SCe,Ameletidae
Ameletus,2018,MCTE,N,15.873015875642766,S,SCe,Ameletidae
Ameletus,2018,MCTE,Y,0,S,SCe,Ameletidae
Ameletus,2018,LOON,N,0,S,SCe,Ameletidae
Ameletus,2018,LOON,Y,0,S,SCe,Ameletidae
Ameletus,2017,LOON,Y,3.7037037037037037,S,SCe,Ameletidae
Ameletus,2017,MCTE,N,11.111111111111109,S,SCe,Ameletidae
Ameletus,2017,CHUCK,Y,0,S,SCe,Ameletidae
Ameletus,2017,LOON,N,0,S,SCe,Ameletidae
Ameletus,2017,W-113,N,0,S,SCe,Ameletidae
Ameletus,2017,W-113,Y,0,S,SCe,Ameletidae
Ameletus,2017,CHUCK,N,0,S,SCe,Ameletidae
Ameletus,2017,MCTE,Y,0,S,SCe,Ameletidae
Ameletus,2017,W-100,N,0,S,SCe,Ameletidae
Ameletus,2017,W-100,Y,3.7037037037037037,S,SCe,Ameletidae
Amphizoa,2018,CHUCK,N,12.345679012345679,S,P,Amphizoidae
Amphizoa,2018,CHUCK,Y,0,S,P,Amphizoidae
Amphizoa,2018,LOON,N,0,S,P,Amphizoidae
Amphizoa,2018,LOON,Y,0,S,P,Amphizoidae
Amphizoa,2018,W-113,N,0,S,P,Amphizoidae
Amphizoa,2018,MCTE,Y,0,S,P,Amphizoidae
Amphizoa,2018,W-100,N,0,S,P,Amphizoidae
Amphizoa,2018,W-100,Y,0,S,P,Amphizoidae
Amphizoa,2017,W-113,N,0,S,P,Amphizoidae
Amphizoa,2017,W-113,Y,7.407407407407407,S,P,Amphizoidae
Amphizoa,2017,CHUCK,N,0,S,P,Amphizoidae
Amphizoa,2017,CHUCK,Y,0,S,P,Amphizoidae
Amphizoa,2017,LOON,N,0,S,P,Amphizoidae
Amphizoa,2018,MCTE,N,0,S,P,Amphizoidae
Amphizoa,2018,W-113,Y,0,S,P,Amphizoidae
Amphizoa,2017,MCTE,Y,0,S,P,Amphizoidae
Amphizoa,2017,W-100,N,7.407407407407407,S,P,Amphizoidae
Amphizoa,2017,LOON,Y,0,S,P,Amphizoidae
Amphizoa,2017,MCTE,N,0,S,P,Amphizoidae
Amphizoa,2017,W-100,Y,0,S,P,Amphizoidae
Ampumixis,2017,MCTE,N,0,S,SCe,Elmidae
Ampumixis,2017,W-100,N,33.333333333333336,S,SCe,Elmidae
Ampumixis,2017,LOON,Y,0,S,SCe,Elmidae
Ampumixis,2017,MCTE,Y,0,S,SCe,Elmidae
Ampumixis,2018,MCTE,N,0,S,SCe,Elmidae
Ampumixis,2018,MCTE,Y,0,S,SCe,Elmidae
Ampumixis,2018,W-100,N,18.51851851851852,S,SCe,Elmidae
Ampumixis,2018,LOON,Y,0,S,SCe,Elmidae
Ampumixis,2017,W-100,Y,29.62962962962963,S,SCe,Elmidae
Ampumixis,2017,W-113,N,22.222222222222218,S,SCe,Elmidae
Ampumixis,2017,W-113,Y,0,S,SCe,Elmidae
Ampumixis,2018,W-100,Y,44.44444444622223,S,SCe,Elmidae
Ampumixis,2017,CHUCK,N,0,S,SCe,Elmidae
