Ameletidae,Baetidae,Brachycentridae,Ceratopogonidae,Chironomidae,Chloroperlidae,Corydalidae,Dixidae,Dyticidae,Elimidae,Elmidae,Empididae,Ephemerellidae,Gerridae,Glossosomatidae,Heptageniidae,Hydropsychidae,Juga,Lepidostomatidae,Leptophlebiidae,Leuctridae/Capniidae,Limniphilidae,Nemouridae,Pelecorhychidae,Peltoperlidae,Perlidae,Perlodidae,Philopotamidae,Polycentropodidae,Psephenidae,Psychodidae,Pteronarcyidae,Rhyacophilidae,Simuliidae,Spp,Tabanidae,Thaumaleidae,Tipulidae,Uenoidae
2,18,0,2,45,12,0,0,0,0,0,3,22,0,14,19,0,0,0,16,3,0,8,0,10,31,1,0,0,0,1,0,11,1,42,0,0,2,3
1,32,1,3,47,20,0,0,0,0,1,1,18,0,5,2,0,0,1,65,0,0,18,0,7,24,0,2,1,0,4,1,8,1,35,0,0,10,1
0,73,1,0,84,16,0,0,0,0,2,2,36,0,25,46,0,0,0,10,1,0,21,0,0,84,0,0,1,0,0,0,9,0,5,1,0,8,1
0,92,1,2,166,14,0,0,0,0,1,1,24,0,15,54,0,0,0,6,1,0,34,0,0,70,0,22,1,0,0,0,9,3,8,0,0,2,0
6,126,2,1,50,27,0,0,0,0,0,0,3,0,1,42,11,0,7,13,6,0,58,0,20,33,0,2,0,1,0,1,2,0,6,0,0,4,0
2,106,1,2,64,15,0,0,0,0,2,2,9,0,3,25,0,0,3,25,2,0,33,0,2,40,0,7,1,0,0,5,14,1,11,0,0,3,5
0,59,13,2,74,1,0,0,0,0,0,2,13,0,9,11,0,0,0,1,1,0,11,1,1,22,0,0,1,0,0,0,9,1,28,0,0,0,5
0,122,25,2,103,0,1,0,0,0,0,1,9,1,26,18,39,1,0,0,2,0,14,0,0,21,3,0,0,0,0,0,8,4,21,0,0,4,3
0,95,9,0,48,0,0,0,0,0,0,1,4,1,24,11,11,0,0,0,1,0,6,0,0,20,0,0,0,0,0,0,5,1,23,0,0,4,4
4,141,1,1,109,9,0,1,0,0,0,2,38,0,0,27,4,0,0,7,0,1,8,0,46,50,4,0,0,0,0,0,4,1,39,0,0,2,0
1,134,1,4,53,23,0,1,0,0,3,1,26,0,1,22,1,0,0,8,2,0,6,1,69,40,0,2,0,0,0,1,28,0,47,3,0,4,1
1,85,3,0,84,20,0,0,0,0,0,0,59,0,1,49,4,0,0,7,0,0,6,1,90,38,4,0,0,0,0,0,10,0,3,1,0,2,0
0,110,1,0,173,7,0,1,0,0,0,0,40,0,1,35,2,0,0,2,1,0,4,0,50,31,2,0,0,0,0,0,19,1,11,2,0,1,0
1,21,3,4,109,12,0,0,0,0,0,0,12,0,4,9,3,0,0,34,2,0,21,0,0,34,1,0,1,0,0,3,5,1,43,0,0,7,0
0,14,4,6,113,9,0,2,0,0,0,0,7,0,8,17,1,0,0,42,2,0,7,0,0,51,0,0,0,0,0,0,7,0,29,0,0,7,0
0,52,1,3,87,14,0,1,0,0,0,3,85,0,10,29,1,0,1,20,1,0,13,0,25,47,4,1,2,0,0,2,7,2,10,0,0,1,1
0,85,0,4,73,13,0,1,0,0,0,2,71,0,15,16,4,0,0,18,0,0,16,0,20,52,2,0,0,0,0,2,14,0,13,1,0,4,0
1,43,2,1,16,28,0,0,0,0,0,2,9,0,0,49,9,0,0,34,5,0,102,0,84,18,0,4,0,0,0,0,23,3,4,0,1,1,1
1,79,7,1,73,24,1,0,0,0,1,0,1,0,8,28,2,0,5,36,2,0,150,0,5,22,0,1,0,0,0,5,11,0,4,0,0,6,2
3,50,0,1,91,23,0,1,0,0,0,0,2,0,6,23,4,0,0,29,3,0,21,0,58,20,1,0,0,0,0,1,11,1,4,0,0,2,0
1,94,1,2,70,5,0,0,0,0,5,4,2,0,39,34,0,0,0,21,3,0,46,0,11,45,0,16,1,1,0,0,9,3,5,0,0,2,2
1,49,3,2,100,9,1,1,1,3,4,5,4,0,28,28,2,0,1,33,8,0,101,0,40,38,0,4,0,3,0,0,14,6,7,0,0,7,1
1,90,27,0,71,13,5,0,0,0,9,3,24,0,30,45,1,0,0,15,0,0,55,0,1,45,0,5,1,0,0,0,15,1,14,0,0,4,1
0,124,8,2,79,7,2,1,0,0,6,3,28,0,22,55,2,0,0,6,1,0,27,0,4,31,1,7,1,0,0,0,28,0,18,0,0,6,0
4,110,0,1,85,14,0,9,0,0,3,0,14,0,3,67,4,0,0,19,3,0,7,0,4,57,1,0,0,0,0,2,4,0,23,0,1,10,0
1,111,10,0,57,9,1,0,0,0,1,0,10,0,7,60,2,0,0,35,3,0,12,0,2,71,0,1,0,0,0,5,12,4,34,0,1,6,1
