Stream,Reach,Watershed,Bankfull Average (m),Wetted Average (m),Bedrock Ave (%),Boulder Ave (%),Cobble Ave (%),Pebble Ave (%),Gravel Ave (%),Fine Ave (%),Large Wood (m3/100m2),Pool Area (M2),Canopy Cover,Canopy Openness,Gradient (%)
CHUCK,SG,CH_L,6.3,1.93,0,52.5,25.5,11,7.5,3.5,1.89,20.6,92.85,7.15,16.4
CHUCK,SG,CH_L,4.6,1.91,0,48.5,31.5,9.5,6.5,3.5,2.96,43.9,93.25,6.75,11.5
COOK,OG,COOK,10.55,5.2,0,22.27,25,21.82,17.73,12.27,13.31,91.2,76.18,23.82,4.6
COOK,SG,COOK,8.57,3.49,0,38,24.5,18.5,13,6,1.34,73.8,95.23,4.78,4
FRITZ,OG,FRITZ,9.68,3.31,0,59,26,10,4,0,7.45,81.4,88.88,11.13,16
FRITZ,SG,FRITZ,7.77,2.45,0,58,25,14.5,2.5,0,8.76,66,97.38,2.63,13.8
IND,SG,IND,11.26,5.37,74.09,5.91,7.27,2.73,2.91,7.09,1.26,40,81.15,18.85,2.8
IND,SG,IND,8.76,5.8,33.64,15.45,29.55,6.82,5.45,9.09,1.24,53.8,82,18,1.4
IND,SG,IND,9.85,4.7,35,25.45,24.09,5.91,4.09,5.45,2.54,111.8,78.11,21.89,2.7
LO701,OG,LO,9.85,4.91,0,60.91,25,8.18,4.09,1.82,5.48,197,79.84,20.16,7.1
LO701,SG,LO,9.04,5.61,0,45,25,11.36,10,8.64,1.52,237.9,89.55,10.45,6
LO703,OG,LO,7.82,4.2,0,54.5,32.5,8.5,4.5,0,3.74,63.6,66,34,6.4
LO703,SG,LO,7.39,4.44,0,53.18,34.09,8.18,4.55,0,1.23,61.5,46.23,53.77,6.4
LOON,SG,CH_L,6.13,2.35,0,58.89,25.56,8.33,5.56,1.67,1.75,68.1,94.81,5.19,12.5
LOON,SG,CH_L,6.46,1.78,0,46.5,36,10,5.5,2,1.34,46,95,5,9.3
MACK,OG,MACK,9.78,4.18,2.5,45,25.94,12.81,10.31,1.25,13.97,169.2,76.08,23.93,9.5
MACK,SG,MACK,9.32,3.95,0,51.56,24.69,14.69,7.97,1.09,3.52,127.1,67.78,32.23,9.9
MCT_E,OG,MC,3.46,1.06,0,23.33,22.78,26.11,17.22,10.56,19.65,24.7,88.83,11.18,6.8
MCT_E,SG,MC,2.48,1.09,0,40.38,33.13,19.6,4.55,1.1,5.14,23.3,0,,8.1
MCT_E,TRANS,MC,3.06,1.19,0,39.09,32.27,24.73,4.18,1.55,3.7,12.2,94.89,5.11,7
MCT_W,OG,MC,4.07,1.77,0,16,25.5,20.5,32.17,5.83,28.67,43.5,91.43,8.58,6.7
MCT_W,SG,MC,3.37,1.54,0,15.91,19.55,29.55,21.91,13.09,2.22,20.1,93.95,6.05,4.3
MR404,OG,MC,10.43,4.02,0,49.5,25.5,14,8.5,2.5,17.72,148.3,71.03,28.98,7.6
MR404,SG,MC,8.61,3.76,0,46.5,30,13.5,7.5,2.5,0.63,64.9,67.3,32.7,4
STR,OG,STR,6.29,3.06,0,41.11,25,16.67,10.56,6.67,6.38,75.4,91.56,8.44,6.8
STR ,SG,STR,6.86,2.91,0,50,26.67,12.22,6.67,4.44,6.09,88.2,77.78,22.23,6.8
