Site ID,Sample_ID,Taxon,Order,FFG,Count,Life Stage,Comments,Body Length (mm),Dry mass (mg),Subsample,Area Sampled (m^2),Area of Subsample,Biomass (mg/m^2),Biomass (g/m^2),Dry mass regression/value source,as...,Reference,Calories per mg dry mass,as ... (Order),Calories per prey item
LO703_MANIP_SUN,ORSU16EH005,Acari,Arachnida,P,1,Larva,,0.7,0.0197,1,1.125,1.125,0.017511111,1.75111E-05,mean value,"Hydracarina, various taxa, nymphs","Meyer, E. 1989",4.825,Arachnida,0.0950525
LO703_REF,ORSU16EH006,Oribatida,Arachnida,P,1,Adult,,0.6,0.1047,0.63,1.125,0.7125,0.146947368,0.000146947,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",4.825,Arachnida,0.5051775
LO703_REF,ORSU16EH006,Pseudofeltria,Arachnida,P,1,Adult,,0.7,0.1047,0.63,1.125,0.7125,0.146947368,0.000146947,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",4.825,Arachnida,0.5051775
LO701_MANIP_SUN,ORSU16EH002,Sperchon,Arachnida,P,2,Adult,,0.7,0.2094,1,1.125,1.125,0.186133333,0.000186133,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",9.65,Arachnida,2.02071
LO701_REF,ORSU16EH003,Sperchon,Arachnida,P,3,Adult,,1.4,0.3141,1,1.125,1.125,0.2792,0.0002792,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",14.475,Arachnida,4.5465975
LO701_REF,ORSU16EH003,Sperchon,Arachnida,P,3,Adult,,2,0.3141,1,1.125,1.125,0.2792,0.0002792,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",14.475,Arachnida,4.5465975
LO703_MANIP_SHADE,ORSU16EH004,Sperchon,Arachnida,P,6,Adult,,0.9,0.6282,1,1.125,1.125,0.5584,0.0005584,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",28.95,Arachnida,18.18639
LO703_MANIP_SUN,ORSU16EH005,Sperchon,Arachnida,P,28,Adult,,1,2.9316,1,1.125,1.125,2.605866667,0.002605867,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",135.1,Arachnida,396.05916
LO703_REF,ORSU16EH006,Sperchon,Arachnida,P,2,Adult,,0.7,0.2094,0.63,1.125,0.7125,0.293894737,0.000293895,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",9.65,Arachnida,2.02071
MR404_REF,ORSU16EH009,Sperchon,Arachnida,P,1,Adult,,0.8,0.1047,1,1.125,1.125,0.093066667,9.30667E-05,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",4.825,Arachnida,0.5051775
LO703_MANIP_SHADE,ORSU16EH004,Sperchonopsis,Arachnida,P,1,Adult,,1,0.1047,1,1.125,1.125,0.093066667,9.30667E-05,mean value,"Hydracarina, various taxa, adults","Meyer, E. 1989",4.825,Arachnida,0.5051775
LO701_MANIP_SHADE,ORSU16EH001,Torrenticola,Arachnida,P,6,Adult,,0.9,0.2736,1,1.125,1.125,0.2432,0.0002432,mean value,Torrenticola spp.,"Meyer, E. 1989",28.95,Arachnida,7.92072
LO701_MANIP_SUN,ORSU16EH002,Torrenticola,Arachnida,P,8,Adult,,0.8,0.3648,1,1.125,1.125,0.324266667,0.000324267,mean value,Torrenticola spp.,"Meyer, E. 1989",38.6,Arachnida,14.08128
LO701_REF,ORSU16EH003,Torrenticola,Arachnida,P,12,Adult,,0.7,0.5472,1,1.125,1.125,0.4864,0.0004864,mean value,Torrenticola spp.,"Meyer, E. 1989",57.9,Arachnida,31.68288
LO703_MANIP_SHADE,ORSU16EH004,Torrenticola,Arachnida,P,5,Adult,,0.6,0.228,1,1.125,1.125,0.202666667,0.000202667,mean value,Torrenticola spp.,"Meyer, E. 1989",24.125,Arachnida,5.5005
LO703_MANIP_SUN,ORSU16EH005,Torrenticola,Arachnida,P,19,Adult,,0.7,0.8664,1,1.125,1.125,0.770133333,0.000770133,mean value,Torrenticola spp.,"Meyer, E. 1989",91.675,Arachnida,79.42722
LO703_REF,ORSU16EH006,Torrenticola,Arachnida,P,9,Adult,,0.7,0.4104,0.63,1.125,0.7125,0.576,0.000576,mean value,Torrenticola spp.,"Meyer, E. 1989",43.425,Arachnida,17.82162
MR404_MANIP_SUN,ORSU16EH008,Torrenticola,Arachnida,P,2,Adult,,0.8,0.0912,1,1.125,1.125,0.081066667,8.10667E-05,mean value,Torrenticola spp.,"Meyer, E. 1989",9.65,Arachnida,0.88008
MR404_REF,ORSU16EH009,Torrenticola,Arachnida,P,5,Adult,,1,0.228,1,1.125,1.125,0.202666667,0.000202667,mean value,Torrenticola spp.,"Meyer, E. 1989",24.125,Arachnida,5.5005
LO701_REF,ORSU16EH003,Rissooidea,Basomattophora,,1,Unknown,,1,0.04,1,1.125,1.125,0.035555556,3.55556E-05,(0.257*L)-0.217,Lymnaea palustris ?10.5mm,"Eckblad, J.W. 1971",1.014,Basomattophora,0.04056
LO701_MANIP_SUN,ORSU16EH002,Brillia,Chironomidae,CG,1,Larva,,2.1,0.028504156,1,1.125,1.125,0.025337028,0.000025337,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",5.424,Chironomidae,0.154606545
