"","Time.Reach.Meter","Portion.Taxon","Sum_Count","Sum_CellCount","Sum_Het"
"1","Post_1_Reference15","Algae Homoeothrix",4347.82608695652,86956.5217391304,0
"2","Post_1_Reference15","Algae Synechococcus",8695.65217391304,978260.869565217,0
"3","Post_1_Reference15","Algae Undetermined Rhodophyte",8695.65217391304,34782.6086956522,0
"4","Post_1_Reference15","Diatoms Achnanthidium minutissimum",2050.86136177194,2050.86136177194,NA
"5","Post_1_Reference15","Diatoms Amphora pediculus",1025.43068088597,1025.43068088597,NA
"6","Post_1_Reference15","Diatoms Aulacoseira",512.715340442986,512.715340442986,NA
"7","Post_1_Reference15","Diatoms Cocconeis placentula sensu lato",1538.14602132896,1538.14602132896,NA
"8","Post_1_Reference15","Diatoms Diatoma moniliformis",512.715340442986,512.715340442986,NA
"9","Post_1_Reference15","Diatoms Epithemia",512.715340442986,512.715340442986,NA
"10","Post_1_Reference15","Diatoms Eunotia",2050.86136177194,2050.86136177194,NA
"11","Post_1_Reference15","Diatoms Eunotia minor",512.715340442986,512.715340442986,NA
"12","Post_1_Reference15","Diatoms Eunotia perpusilla",1025.43068088597,1025.43068088597,NA
"13","Post_1_Reference15","Diatoms Fragilaria amphicelaphaloides",512.715340442986,512.715340442986,NA
"14","Post_1_Reference15","Diatoms Gomphonema pumilum v. rigidum",58962.2641509434,58962.2641509434,NA
"15","Post_1_Reference15","Diatoms Karayevia suchlandtii",24097.6210008203,24097.6210008203,NA
"16","Post_1_Reference15","Diatoms Mayamaea atomus",512.715340442986,512.715340442986,NA
"17","Post_1_Reference15","Diatoms Meridion circulare",2050.86136177194,2050.86136177194,NA
"18","Post_1_Reference15","Diatoms Navicula cryptotenella",512.715340442986,512.715340442986,NA
"19","Post_1_Reference15","Diatoms Navicula cryptotenelloides",512.715340442986,512.715340442986,NA
"20","Post_1_Reference15","Diatoms Navicula rostellata",512.715340442986,512.715340442986,NA
"21","Post_1_Reference15","Diatoms Nitzschia",1025.43068088597,1025.43068088597,NA
"22","Post_1_Reference15","Diatoms Nitzschia dissipata",512.715340442986,512.715340442986,NA
"23","Post_1_Reference15","Diatoms Nitzschia inconspicua",512.715340442986,512.715340442986,NA
"24","Post_1_Reference15","Diatoms Planothidium lanceolatum",7690.73010664479,7690.73010664479,NA
"25","Post_1_Reference15","Diatoms Reimeria sinuata",512.715340442986,512.715340442986,NA
"26","Post_1_Reference15","Diatoms Rossithidium nodosum",512.715340442986,512.715340442986,NA
"27","Post_1_Reference15","Diatoms Sellaphora",512.715340442986,512.715340442986,NA
"28","Post_1_Reference45","Algae Calothrix",16053.5117056856,176588.628762542,3210.70234113713
"29","Post_1_Reference45","Algae Synechococcus",35317.7257525084,1846153.84615385,0
"30","Post_1_Reference45","Algae Undetermined Rhodophyte",12842.8093645485,195852.842809365,0
"31","Post_1_Reference45","Diatoms Achnanthidium minutissimum",754.754654819549,754.754654819549,NA
"32","Post_1_Reference45","Diatoms Adlafia langebertalotii",754.754654819549,754.754654819549,NA
"33","Post_1_Reference45","Diatoms Cocconeis placentula sensu lato",251.58488493985,251.58488493985,NA
"34","Post_1_Reference45","Diatoms Diatoma",251.58488493985,251.58488493985,NA
"35","Post_1_Reference45","Diatoms Eunotia",503.169769879699,503.169769879699,NA
"36","Post_1_Reference45","Diatoms Eunotia minor",251.58488493985,251.58488493985,NA
"37","Post_1_Reference45","Diatoms Eunotia perpusilla",503.169769879699,503.169769879699,NA
"38","Post_1_Reference45","Diatoms Gomphonema pumilum v. rigidum",93841.1620825639,93841.1620825639,NA
"39","Post_1_Reference45","Diatoms Gomphosphenia",1006.3395397594,1006.3395397594,NA
"40","Post_1_Reference45","Diatoms Karayevia suchlandtii",24152.1489542256,24152.1489542256,NA
"41","Post_1_Reference45","Diatoms Meridion circulare",4780.11281385714,4780.11281385714,NA
"42","Post_1_Reference45","Diatoms Navicula",251.58488493985,251.58488493985,NA
"43","Post_1_Reference45","Diatoms Navicula cryptotenella",503.169769879699,503.169769879699,NA
"44","Post_1_Reference45","Diatoms Navicula reichardtiana",503.169769879699,503.169769879699,NA
"45","Post_1_Reference45","Diatoms Planothidium frequentissimum",251.58488493985,251.58488493985,NA
"46","Post_1_Reference45","Diatoms Planothidium lanceolatum",2264.26396445865,2264.26396445865,NA
"47","Post_1_Reference45","Diatoms Psammothidium daonense",503.169769879699,503.169769879699,NA
"48","Post_1_Reference45","Diatoms Rossithidium nodosum",1509.5093096391,1509.5093096391,NA
"49","Post_1_Reference45","Diatoms Rossithidium petersenii",2012.6790795188,2012.6790795188,NA
"50","Post_1_Reference75","Algae Homoeothrix",7625.41806020067,152508.361204013,0
"51","Post_1_Reference75","Algae Undetermined Rhodophyte",11438.127090301,53377.9264214047,0
"52","Post_1_Reference75","Diatoms Achnanthidium minutissimum",3912.51816701396,3912.51816701396,NA
"53","Post_1_Reference75","Diatoms Eunotia",4890.64770876744,4890.64770876744,NA
"54","Post_1_Reference75","Diatoms Eunotia minor",978.129541753489,978.129541753489,NA
"55","Post_1_Reference75","Diatoms Gomphonema pumilum v. rigidum",136938.135845488,136938.135845488,NA
"56","Post_1_Reference75","Diatoms Karayevia suchlandtii",11737.5545010419,11737.5545010419,NA
"57","Post_1_Reference75","Diatoms Planothidium lanceolatum",20540.7203768233,20540.7203768233,NA
"58","Post_1_Reference75","Diatoms Psammothidium daonense",3912.51816701396,3912.51816701396,NA
"59","Post_1_Reference75","Diatoms Rossithidium nodosum",978.129541753489,978.129541753489,NA
"60","Post_1_Reference75","Diatoms Rossithidium petersenii",2934.38862526047,2934.38862526047,NA
"61","Post_1_Treatment15","Algae Sheathia",3973.24414715719,15892.9765886287,0
"62","Post_1_Treatment15","Algae Undetermined Rhodophyte",23839.4648829431,111250.836120401,0
"63","Post_1_Treatment15","Diatoms Achnanthidium minutissimum",1227.50632188596,1227.50632188596,NA
"64","Post_1_Treatment15","Diatoms Cocconeis placentula sensu lato",920.62974141447,920.62974141447,NA
"65","Post_1_Treatment15","Diatoms Diatoma mesodon",460.314870707235,460.314870707235,NA
"66","Post_1_Treatment15","Diatoms Encyonema ventricosum",153.438290235745,153.438290235745,NA
"67","Post_1_Treatment15","Diatoms Eunotia",1841.25948282894,1841.25948282894,NA
"68","Post_1_Treatment15","Diatoms Eunotia minor",1994.69777306468,1994.69777306468,NA
"69","Post_1_Treatment15","Diatoms Gomphonema pumilum v. rigidum",28999.8368545558,28999.8368545558,NA
"70","Post_1_Treatment15","Diatoms Karayevia suchlandtii",19946.9777306468,19946.9777306468,NA
"71","Post_1_Treatment15","Diatoms Meridion circulare",613.75316094298,613.75316094298,NA
"72","Post_1_Treatment15","Diatoms Navicula cryptotenella",306.87658047149,306.87658047149,NA
"73","Post_1_Treatment15","Diatoms Planothidium haynaldii",153.438290235745,153.438290235745,NA
"74","Post_1_Treatment15","Diatoms Planothidium lanceolatum",7365.03793131576,7365.03793131576,NA
"75","Post_1_Treatment15","Diatoms Rossithidium nodosum",613.75316094298,613.75316094298,NA
"76","Post_1_Treatment15","Diatoms Rossithidium petersenii",10894.1186067379,10894.1186067379,NA
