"","Time.Reach","Portion.Taxon","Sum_Count","Sum_CellCount","Sum_Het"
"1","Post_1_Reference","Algae Calothrix",16053.5117056856,176588.628762542,3210.70234113713
"2","Post_1_Reference","Algae Homoeothrix",11973.2441471572,239464.882943144,0
"3","Post_1_Reference","Algae Synechococcus",44013.3779264214,2824414.71571907,0
"4","Post_1_Reference","Algae Undetermined Rhodophyte",32976.5886287626,284013.377926422,0
"5","Post_1_Reference","Diatoms Achnanthidium minutissimum",6718.13418360545,6718.13418360545,NA
"6","Post_1_Reference","Diatoms Adlafia langebertalotii",754.754654819549,754.754654819549,NA
"7","Post_1_Reference","Diatoms Amphora pediculus",1025.43068088597,1025.43068088597,NA
"8","Post_1_Reference","Diatoms Aulacoseira",512.715340442986,512.715340442986,NA
"9","Post_1_Reference","Diatoms Cocconeis placentula sensu lato",1789.73090626881,1789.73090626881,NA
"10","Post_1_Reference","Diatoms Diatoma",251.58488493985,251.58488493985,NA
"11","Post_1_Reference","Diatoms Diatoma moniliformis",512.715340442986,512.715340442986,NA
"12","Post_1_Reference","Diatoms Epithemia",512.715340442986,512.715340442986,NA
"13","Post_1_Reference","Diatoms Eunotia",7444.67884041909,7444.67884041909,NA
"14","Post_1_Reference","Diatoms Eunotia minor",1742.42976713632,1742.42976713632,NA
"15","Post_1_Reference","Diatoms Eunotia perpusilla",1528.60045076567,1528.60045076567,NA
"16","Post_1_Reference","Diatoms Fragilaria amphicelaphaloides",512.715340442986,512.715340442986,NA
"17","Post_1_Reference","Diatoms Gomphonema pumilum v. rigidum",289741.562078996,289741.562078996,NA
"18","Post_1_Reference","Diatoms Gomphosphenia",1006.3395397594,1006.3395397594,NA
"19","Post_1_Reference","Diatoms Karayevia suchlandtii",59987.3244560878,59987.3244560878,NA
"20","Post_1_Reference","Diatoms Mayamaea atomus",512.715340442986,512.715340442986,NA
"21","Post_1_Reference","Diatoms Meridion circulare",6830.97417562908,6830.97417562908,NA
"22","Post_1_Reference","Diatoms Navicula",251.58488493985,251.58488493985,NA
"23","Post_1_Reference","Diatoms Navicula cryptotenella",1015.88511032269,1015.88511032269,NA
"24","Post_1_Reference","Diatoms Navicula cryptotenelloides",512.715340442986,512.715340442986,NA
"25","Post_1_Reference","Diatoms Navicula reichardtiana",503.169769879699,503.169769879699,NA
"26","Post_1_Reference","Diatoms Navicula rostellata",512.715340442986,512.715340442986,NA
"27","Post_1_Reference","Diatoms Nitzschia",1025.43068088597,1025.43068088597,NA
"28","Post_1_Reference","Diatoms Nitzschia dissipata",512.715340442986,512.715340442986,NA
"29","Post_1_Reference","Diatoms Nitzschia inconspicua",512.715340442986,512.715340442986,NA
"30","Post_1_Reference","Diatoms Planothidium frequentissimum",251.58488493985,251.58488493985,NA
"31","Post_1_Reference","Diatoms Planothidium lanceolatum",30495.7144479267,30495.7144479267,NA
"32","Post_1_Reference","Diatoms Psammothidium daonense",4415.68793689365,4415.68793689365,NA
"33","Post_1_Reference","Diatoms Reimeria sinuata",512.715340442986,512.715340442986,NA
"34","Post_1_Reference","Diatoms Rossithidium nodosum",3000.35419183557,3000.35419183557,NA
"35","Post_1_Reference","Diatoms Rossithidium petersenii",4947.06770477926,4947.06770477926,NA
"36","Post_1_Reference","Diatoms Sellaphora",512.715340442986,512.715340442986,NA
"37","Post_1_Treatment","Algae Homoeothrix",12040.1337792642,200668.89632107,0
"38","Post_1_Treatment","Algae Sheathia",3973.24414715719,15892.9765886287,0
"39","Post_1_Treatment","Algae Synechococcus",162943.143812709,1629431.43812709,0
"40","Post_1_Treatment","Algae Undetermined Rhodophyte",63170.5685618728,287036.789297659,0
"41","Post_1_Treatment","Diatoms Achnanthidium minutissimum",4250.91769312342,4250.91769312342,NA
"42","Post_1_Treatment","Diatoms Adlafia langebertalotii",2481.60535117057,2481.60535117057,NA
"43","Post_1_Treatment","Diatoms Cocconeis placentula sensu lato",6495.88057753487,6495.88057753487,NA
"44","Post_1_Treatment","Diatoms Diatoma mesodon",6192.75634227914,6192.75634227914,NA
"45","Post_1_Treatment","Diatoms Encyonema ventricosum",153.438290235745,153.438290235745,NA
"46","Post_1_Treatment","Diatoms Eunotia",8115.50697446773,8115.50697446773,NA
"47","Post_1_Treatment","Diatoms Eunotia bidens",2167.22408026756,2167.22408026756,NA
"48","Post_1_Treatment","Diatoms Eunotia minor",6101.72118443592,6101.72118443592,NA
"49","Post_1_Treatment","Diatoms Eunotia perpusilla",1625.41806020067,1625.41806020067,NA
"50","Post_1_Treatment","Diatoms Fragilaria perminuta",3722.40802675585,3722.40802675585,NA
"51","Post_1_Treatment","Diatoms Gomphonema pumilum v. rigidum",437635.288359572,437635.288359572,NA
"52","Post_1_Treatment","Diatoms Gomphonema stoermeri",3250.83612040133,3250.83612040133,NA
"53","Post_1_Treatment","Diatoms Gomphosphenia",1240.80267558528,1240.80267558528,NA
"54","Post_1_Treatment","Diatoms Karayevia suchlandtii",206686.108165429,206686.108165429,NA
"55","Post_1_Treatment","Diatoms Meridion circulare",58844.5223917122,58844.5223917122,NA
"56","Post_1_Treatment","Diatoms Navicula cryptotenella",306.87658047149,306.87658047149,NA
"57","Post_1_Treatment","Diatoms Navicula cryptotenelloides",541.806020066889,541.806020066889,NA
"58","Post_1_Treatment","Diatoms Navicula reichardtiana",2324.41471571906,2324.41471571906,NA
"59","Post_1_Treatment","Diatoms Nitzschia dissipata",1625.41806020067,1625.41806020067,NA
"60","Post_1_Treatment","Diatoms Planothidium haynaldii",9223.67240394812,9223.67240394812,NA
"61","Post_1_Treatment","Diatoms Planothidium lanceolatum",341656.007830981,341656.007830981,NA
"62","Post_1_Treatment","Diatoms Psammothidium daonense",17668.8963210702,17668.8963210702,NA
"63","Post_1_Treatment","Diatoms Rossithidium nodosum",1854.55583652826,1854.55583652826,NA
"64","Post_1_Treatment","Diatoms Rossithidium petersenii",19807.1620849988,19807.1620849988,NA
"65","Post_1_Treatment","Diatoms Sellaphora atomoides",541.806020066889,541.806020066889,NA
"66","Post_1_Treatment","Diatoms Sellaphora nigri",541.806020066889,541.806020066889,NA
"67","Post_2_Reference","Algae Calothrix",85431.4381270904,2126581.93979933,84387.9598662208
"68","Post_2_Reference","Algae Homoeothrix",27290.9698996656,557458.193979933,0
"69","Post_2_Reference","Algae Leptolyngbya",73953.1772575252,4095197.32441472,0
"70","Post_2_Reference","Algae Nostoc",19531.7725752508,368026.755852843,0
"71","Post_2_Reference","Algae Sheathia",582020.066889632,4995879.59866221,0
"72","Post_2_Reference","Algae Undetermined Rhodophyte",15812.7090301003,144080.267558529,0
"73","Post_2_Reference","Diatoms Achnanthidium minutissimum",2809.36454849498,2809.36454849498,NA
"74","Post_2_Reference","Diatoms Adlafia langebertalotii",31768.0267558529,31768.0267558529,NA
"75","Post_2_Reference","Diatoms Caloneis bacillum",528.695652173914,528.695652173914,NA
"76","Post_2_Reference","Diatoms Cocconeis placentula sensu lato",8389.83277591974,8389.83277591974,NA
"77","Post_2_Reference","Diatoms Cymbella affinis",264.347826086957,264.347826086957,NA
"78","Post_2_Reference","Diatoms Diatoma mesodon",49516.7892976589,49516.7892976589,NA
"79","Post_2_Reference","Diatoms Encyonema",401.33779264214,401.33779264214,NA
"80","Post_2_Reference","Diatoms Epithemia",1586.08695652174,1586.08695652174,NA
"81","Post_2_Reference","Diatoms Epithemia argus",1204.01337792642,1204.01337792642,NA
"82","Post_2_Reference","Diatoms Epithemia turgida",3237.19063545151,3237.19063545151,NA
"83","Post_2_Reference","Diatoms Eunotia",74741.9397993311,74741.9397993311,NA
"84","Post_2_Reference","Diatoms Eunotia bidens",8111.03678929766,8111.03678929766,NA
"85","Post_2_Reference","Diatoms Eunotia canicula",15234.2474916388,15234.2474916388,NA
"86","Post_2_Reference","Diatoms Eunotia incisa",12208.6956521739,12208.6956521739,NA
"87","Post_2_Reference","Diatoms Eunotia minor",8788.76254180602,8788.76254180602,NA
"88","Post_2_Reference","Diatoms Eunotia perpusilla",50848.1605351171,50848.1605351171,NA
"89","Post_2_Reference","Diatoms Fragilaria",2444.14715719064,2444.14715719064,NA
"90","Post_2_Reference","Diatoms Fragilaria tenera",20286.0200668896,20286.0200668896,NA
"91","Post_2_Reference","Diatoms Frustulia krammeri",1617.39130434783,1617.39130434783,NA
